year,state,sector-name,fuel-name,value,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
1970,Massachusetts,Total carbon dioxide emissions from all sectors,All Fuels,99.57,46.74,46.93333333333334,-71.7986394244,42.2533023991
1970,Michigan,Total carbon dioxide emissions from all sectors,All Fuels,186.8,43.58,43.583333333333336,-85.4371669561,44.3506813109
1970,Minnesota,Total carbon dioxide emissions from all sectors,All Fuels,69.33,39.32,40.05833333333333,-94.3090126515,46.3163329315
1970,Mississippi,Total carbon dioxide emissions from all sectors,All Fuels,38.69,62.37,63.625,-89.6652136847,32.750866634
1970,Missouri,Total carbon dioxide emissions from all sectors,All Fuels,86.63,53.82,54.48333333333333,-92.47741015779998,38.3676131565
1970,Montana,Total carbon dioxide emissions from all sectors,All Fuels,14.36,40.62,41.13333333333333,-109.645148622,47.0335364218
1970,Nebraska,Total carbon dioxide emissions from all sectors,All Fuels,27.53,48.26,48.36666666666667,-99.8108090713,41.5271489603
1970,Nevada,Total carbon dioxide emissions from all sectors,All Fuels,10.77,49.48,49.5,-116.65522549,39.3562373462
1970,New Hampshire,Total carbon dioxide emissions from all sectors,All Fuels,12.83,42.5,42.35,-71.5775941473,43.6856317461
1970,New Jersey,Total carbon dioxide emissions from all sectors,All Fuels,129.53,51.31,51.41666666666666,-74.6607541123,40.1844273633
1970,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,34.96,52.23,52.833333333333336,-106.108388616,34.4213707591
1970,New York,Total carbon dioxide emissions from all sectors,All Fuels,284.91,44.04,44.50833333333333,-75.5031182762,42.9403901101
1970,North Carolina,Total carbon dioxide emissions from all sectors,All Fuels,97.28,58.2,58.5,-79.3723797543,35.5415341226
1970,North Dakota,Total carbon dioxide emissions from all sectors,All Fuels,14.75,38.74,39.69166666666667,-100.469321077,47.446338517
1970,Ohio,Total carbon dioxide emissions from all sectors,All Fuels,275.35,50.28,50.40833333333333,-82.7900611953,40.291452206
1970,Oklahoma,Total carbon dioxide emissions from all sectors,All Fuels,55.57,59.11,59.68333333333334,-97.5082927121,35.5834856477
1970,Oregon,Total carbon dioxide emissions from all sectors,All Fuels,25.63,46.9,46.475,-120.555413394,43.93664816060001
1970,Pennsylvania,Total carbon dioxide emissions from all sectors,All Fuels,306.71,47.85,48.11666666666667,-77.7995595623,40.8738378455
1970,Rhode Island,Total carbon dioxide emissions from all sectors,All Fuels,13.12,48.4,48.54166666666666,-71.5536120535,41.6760813901
1970,South Carolina,Total carbon dioxide emissions from all sectors,All Fuels,42.19,62.02,62.38333333333333,-80.8961396866,33.9079742468
1970,South Dakota,Total carbon dioxide emissions from all sectors,All Fuels,9.35,43.9,44.56666666666666,-100.230507516,44.4361607025
1970,Tennessee,Total carbon dioxide emissions from all sectors,All Fuels,77.9,56.74,57.65833333333333,-86.3433803654,35.8429870949
1970,Texas,Total carbon dioxide emissions from all sectors,All Fuels,358.91,63.55,64.64166666666667,-99.3506971451,31.4844643819
1970,Utah,Total carbon dioxide emissions from all sectors,All Fuels,24.39,47.59,47.53333333333333,-111.678216374,39.3237947509
1970,Vermont,Total carbon dioxide emissions from all sectors,All Fuels,5.54,41.18,41.333333333333336,-72.6626493581,44.07519582519999
1970,Virginia,Total carbon dioxide emissions from all sectors,All Fuels,86.62,54.54,54.79166666666666,-78.8122544727,37.5150238913
1970,Washington,Total carbon dioxide emissions from all sectors,All Fuels,44.76,46.12,46.125,-120.446866425,47.3809688818
1970,West Virginia,Total carbon dioxide emissions from all sectors,All Fuels,76.97,51.29,51.575,-80.6137119661,38.6425987436
1970,Wisconsin,Total carbon dioxide emissions from all sectors,All Fuels,88.19,42.17,42.38333333333333,-90.0116942643,44.6380301915
1970,Wyoming,Total carbon dioxide emissions from all sectors,All Fuels,18.59,40.48,40.75833333333333,-107.551454075,42.999642032
1971,Alabama,Total carbon dioxide emissions from all sectors,All Fuels,98.46,62.43,63.05833333333334,-86.8283719359,32.7898321918
1971,Arizona,Total carbon dioxide emissions from all sectors,All Fuels,27.0,58.36,59.35,-111.664418336,34.2931098705
1971,Arkansas,Total carbon dioxide emissions from all sectors,All Fuels,35.09,60.39,60.43333333333334,-92.4392676639,34.8997453322
1971,California,Total carbon dioxide emissions from all sectors,All Fuels,305.83,56.31,57.36666666666667,-119.610698951,37.2460706736
1971,Colorado,Total carbon dioxide emissions from all sectors,All Fuels,43.59,44.2,44.61666666666667,-105.547824721,38.9985518194
1971,Connecticut,Total carbon dioxide emissions from all sectors,All Fuels,45.89,48.02,48.05833333333334,-72.7257060428,41.6202863352
1971,Delaware,Total carbon dioxide emissions from all sectors,All Fuels,15.93,54.28,54.19166666666666,-75.4004040929,38.8870164548
1971,Florida,Total carbon dioxide emissions from all sectors,All Fuels,111.5,70.16,70.125,-81.7974638723,28.628439264699995
1971,Georgia,Total carbon dioxide emissions from all sectors,All Fuels,79.57,63.08,63.375,-83.4463418309,32.6492290722
1971,Idaho,Total carbon dioxide emissions from all sectors,All Fuels,11.07,41.77,42.583333333333336,-114.659382348,44.0890895052
1971,Illinois,Total carbon dioxide emissions from all sectors,All Fuels,243.75,52.07,51.625,-89.19839676140002,40.0650409125
1971,Indiana,Total carbon dioxide emissions from all sectors,All Fuels,169.06,51.38,51.30833333333334,-86.2756397346,39.9081412284
1971,Iowa,Total carbon dioxide emissions from all sectors,All Fuels,53.4,47.32,47.50833333333333,-93.50006496049998,42.0746268788
1971,Kansas,Total carbon dioxide emissions from all sectors,All Fuels,52.78,53.87,54.16666666666666,-98.3802131736,38.4847081514
1971,Kentucky,Total carbon dioxide emissions from all sectors,All Fuels,88.46,55.22,55.50833333333333,-85.2904560935,37.5266674638
1971,Louisiana,Total carbon dioxide emissions from all sectors,All Fuels,146.72,66.37,66.39999999999999,-92.5856620163,31.0584069584
1971,Maine,Total carbon dioxide emissions from all sectors,All Fuels,20.58,39.76,40.075,-69.2266474552,45.3714334913
1971,Maryland,Total carbon dioxide emissions from all sectors,All Fuels,75.38,53.77,53.75833333333333,-76.7724546076,39.0369222963
1971,Massachusetts,Total carbon dioxide emissions from all sectors,All Fuels,100.03,46.8,46.93333333333334,-71.7986394244,42.2533023991
1971,Michigan,Total carbon dioxide emissions from all sectors,All Fuels,192.68,43.85,43.583333333333336,-85.4371669561,44.3506813109
1971,Minnesota,Total carbon dioxide emissions from all sectors,All Fuels,68.49,39.54,40.075,-94.3090126515,46.3163329315
1971,Mississippi,Total carbon dioxide emissions from all sectors,All Fuels,40.5,63.19,63.625,-89.6652136847,32.750866634
1971,Missouri,Total carbon dioxide emissions from all sectors,All Fuels,89.06,54.77,54.50833333333333,-92.47741015779998,38.3676131565
1971,Montana,Total carbon dioxide emissions from all sectors,All Fuels,14.86,40.54,41.11666666666667,-109.645148622,47.0335364218
1971,Nebraska,Total carbon dioxide emissions from all sectors,All Fuels,27.52,47.98,48.38333333333333,-99.8108090713,41.5271489603
1971,Nevada,Total carbon dioxide emissions from all sectors,All Fuels,13.79,48.48,49.475,-116.65522549,39.3562373462
1971,New Hampshire,Total carbon dioxide emissions from all sectors,All Fuels,13.36,42.01,42.34166666666667,-71.5775941473,43.6856317461
1971,New Jersey,Total carbon dioxide emissions from all sectors,All Fuels,124.98,51.72,51.45,-74.6607541123,40.1844273633
1971,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,37.23,52.38,52.85,-106.108388616,34.4213707591
1971,New York,Total carbon dioxide emissions from all sectors,All Fuels,277.05,44.08,44.5,-75.5031182762,42.9403901101
1971,North Carolina,Total carbon dioxide emissions from all sectors,All Fuels,99.19,58.39,58.51666666666667,-79.3723797543,35.5415341226
1971,North Dakota,Total carbon dioxide emissions from all sectors,All Fuels,15.92,39.07,39.69166666666667,-100.469321077,47.446338517
1971,Ohio,Total carbon dioxide emissions from all sectors,All Fuels,269.89,50.38,50.40833333333333,-82.7900611953,40.291452206
1971,Oklahoma,Total carbon dioxide emissions from all sectors,All Fuels,56.39,59.56,59.675,-97.5082927121,35.5834856477
1971,Oregon,Total carbon dioxide emissions from all sectors,All Fuels,27.0,45.84,46.475,-120.555413394,43.93664816060001
1971,Pennsylvania,Total carbon dioxide emissions from all sectors,All Fuels,303.39,48.0,48.11666666666667,-77.7995595623,40.8738378455
1971,Rhode Island,Total carbon dioxide emissions from all sectors,All Fuels,13.56,48.88,48.56666666666666,-71.5536120535,41.6760813901
1971,South Carolina,Total carbon dioxide emissions from all sectors,All Fuels,44.05,62.16,62.38333333333333,-80.8961396866,33.9079742468
1971,South Dakota,Total carbon dioxide emissions from all sectors,All Fuels,9.3,43.72,44.583333333333336,-100.230507516,44.4361607025
1971,Tennessee,Total carbon dioxide emissions from all sectors,All Fuels,76.33,57.47,57.68333333333333,-86.3433803654,35.8429870949
1971,Texas,Total carbon dioxide emissions from all sectors,All Fuels,375.78,65.02,64.625,-99.3506971451,31.4844643819
1971,Utah,Total carbon dioxide emissions from all sectors,All Fuels,25.51,46.79,47.53333333333333,-111.678216374,39.3237947509
1971,Vermont,Total carbon dioxide emissions from all sectors,All Fuels,5.49,40.78,41.34166666666667,-72.6626493581,44.07519582519999
1971,Virginia,Total carbon dioxide emissions from all sectors,All Fuels,87.42,54.6,54.775,-78.8122544727,37.5150238913
1971,Washington,Total carbon dioxide emissions from all sectors,All Fuels,46.13,45.43,46.125,-120.446866425,47.3809688818
1971,West Virginia,Total carbon dioxide emissions from all sectors,All Fuels,78.01,51.22,51.55,-80.6137119661,38.6425987436
1971,Wisconsin,Total carbon dioxide emissions from all sectors,All Fuels,84.77,41.93,42.4,-90.0116942643,44.6380301915
1971,Wyoming,Total carbon dioxide emissions from all sectors,All Fuels,18.79,40.07,40.75833333333333,-107.551454075,42.999642032
1972,Alabama,Total carbon dioxide emissions from all sectors,All Fuels,104.93,63.18,63.05833333333334,-86.8283719359,32.7898321918
1972,Arizona,Total carbon dioxide emissions from all sectors,All Fuels,30.18,59.61,59.35833333333333,-111.664418336,34.2931098705
1972,Arkansas,Total carbon dioxide emissions from all sectors,All Fuels,37.19,60.43,60.425,-92.4392676639,34.8997453322
1972,California,Total carbon dioxide emissions from all sectors,All Fuels,312.72,57.23,57.36666666666667,-119.610698951,37.2460706736
1972,Colorado,Total carbon dioxide emissions from all sectors,All Fuels,47.47,44.81,44.6,-105.547824721,38.9985518194
1972,Connecticut,Total carbon dioxide emissions from all sectors,All Fuels,47.22,47.32,48.025000000000006,-72.7257060428,41.6202863352
1972,Delaware,Total carbon dioxide emissions from all sectors,All Fuels,16.01,53.64,54.18333333333333,-75.4004040929,38.8870164548
1972,Florida,Total carbon dioxide emissions from all sectors,All Fuels,121.68,71.12,70.11666666666666,-81.7974638723,28.628439264699995
1972,Georgia,Total carbon dioxide emissions from all sectors,All Fuels,86.76,63.61,63.35833333333334,-83.4463418309,32.6492290722
1972,Idaho,Total carbon dioxide emissions from all sectors,All Fuels,11.64,42.24,42.59166666666667,-114.659382348,44.0890895052
1972,Illinois,Total carbon dioxide emissions from all sectors,All Fuels,253.31,50.72,51.63333333333333,-89.19839676140002,40.0650409125
1972,Indiana,Total carbon dioxide emissions from all sectors,All Fuels,184.02,50.53,51.30833333333334,-86.2756397346,39.9081412284
1972,Iowa,Total carbon dioxide emissions from all sectors,All Fuels,56.4,45.85,47.50833333333333,-93.50006496049998,42.0746268788
1972,Kansas,Total carbon dioxide emissions from all sectors,All Fuels,56.08,53.53,54.14166666666667,-98.3802131736,38.4847081514
1972,Kentucky,Total carbon dioxide emissions from all sectors,All Fuels,94.14,54.99,55.49166666666667,-85.2904560935,37.5266674638
1972,Louisiana,Total carbon dioxide emissions from all sectors,All Fuels,155.36,66.82,66.39166666666667,-92.5856620163,31.0584069584
1972,Maine,Total carbon dioxide emissions from all sectors,All Fuels,22.16,38.6,40.10833333333333,-69.2266474552,45.3714334913
1972,Maryland,Total carbon dioxide emissions from all sectors,All Fuels,76.25,53.19,53.75833333333333,-76.7724546076,39.0369222963
1972,Massachusetts,Total carbon dioxide emissions from all sectors,All Fuels,103.89,45.96,46.90833333333333,-71.7986394244,42.2533023991
1972,Michigan,Total carbon dioxide emissions from all sectors,All Fuels,199.43,41.94,43.575,-85.4371669561,44.3506813109
1972,Minnesota,Total carbon dioxide emissions from all sectors,All Fuels,72.69,37.91,40.06666666666667,-94.3090126515,46.3163329315
1972,Mississippi,Total carbon dioxide emissions from all sectors,All Fuels,43.31,63.87,63.63333333333333,-89.6652136847,32.750866634
1972,Missouri,Total carbon dioxide emissions from all sectors,All Fuels,94.71,54.17,54.50833333333333,-92.47741015779998,38.3676131565
1972,Montana,Total carbon dioxide emissions from all sectors,All Fuels,15.7,39.63,41.125,-109.645148622,47.0335364218
1972,Nebraska,Total carbon dioxide emissions from all sectors,All Fuels,29.48,47.53,48.38333333333333,-99.8108090713,41.5271489603
1972,Nevada,Total carbon dioxide emissions from all sectors,All Fuels,18.92,49.35,49.48333333333333,-116.65522549,39.3562373462
1972,New Hampshire,Total carbon dioxide emissions from all sectors,All Fuels,14.09,41.18,42.325,-71.5775941473,43.6856317461
1972,New Jersey,Total carbon dioxide emissions from all sectors,All Fuels,127.9,51.02,51.44166666666666,-74.6607541123,40.1844273633
1972,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,39.68,53.02,52.833333333333336,-106.108388616,34.4213707591
1972,New York,Total carbon dioxide emissions from all sectors,All Fuels,274.09,43.12,44.49166666666667,-75.5031182762,42.9403901101
1972,North Carolina,Total carbon dioxide emissions from all sectors,All Fuels,104.46,58.22,58.51666666666667,-79.3723797543,35.5415341226
1972,North Dakota,Total carbon dioxide emissions from all sectors,All Fuels,16.86,37.68,39.69166666666667,-100.469321077,47.446338517
1972,Ohio,Total carbon dioxide emissions from all sectors,All Fuels,284.92,49.52,50.40833333333333,-82.7900611953,40.291452206
1972,Oklahoma,Total carbon dioxide emissions from all sectors,All Fuels,59.26,59.53,59.7,-97.5082927121,35.5834856477
1972,Oregon,Total carbon dioxide emissions from all sectors,All Fuels,29.34,46.45,46.48333333333333,-120.555413394,43.93664816060001
1972,Pennsylvania,Total carbon dioxide emissions from all sectors,All Fuels,314.96,47.25,48.13333333333333,-77.7995595623,40.8738378455
1972,Rhode Island,Total carbon dioxide emissions from all sectors,All Fuels,13.49,48.07,48.55,-71.5536120535,41.6760813901
1972,South Carolina,Total carbon dioxide emissions from all sectors,All Fuels,46.86,62.26,62.4,-80.8961396866,33.9079742468
1972,South Dakota,Total carbon dioxide emissions from all sectors,All Fuels,9.68,42.7,44.55833333333334,-100.230507516,44.4361607025
1972,Tennessee,Total carbon dioxide emissions from all sectors,All Fuels,86.99,57.44,57.66666666666666,-86.3433803654,35.8429870949
1972,Texas,Total carbon dioxide emissions from all sectors,All Fuels,398.16,64.68,64.61666666666666,-99.3506971451,31.4844643819
1972,Utah,Total carbon dioxide emissions from all sectors,All Fuels,25.78,48.17,47.54166666666666,-111.678216374,39.3237947509
1972,Vermont,Total carbon dioxide emissions from all sectors,All Fuels,5.77,40.08,41.35833333333333,-72.6626493581,44.07519582519999
1972,Virginia,Total carbon dioxide emissions from all sectors,All Fuels,88.68,54.3,54.8,-78.8122544727,37.5150238913
1972,Washington,Total carbon dioxide emissions from all sectors,All Fuels,52.3,45.28,46.10833333333333,-120.446866425,47.3809688818
1972,West Virginia,Total carbon dioxide emissions from all sectors,All Fuels,89.01,50.99,51.56666666666666,-80.6137119661,38.6425987436
1972,Wisconsin,Total carbon dioxide emissions from all sectors,All Fuels,84.26,40.22,42.35833333333333,-90.0116942643,44.6380301915
1972,Wyoming,Total carbon dioxide emissions from all sectors,All Fuels,21.66,40.34,40.75833333333333,-107.551454075,42.999642032
1973,Alabama,Total carbon dioxide emissions from all sectors,All Fuels,109.56,63.18,63.083333333333336,-86.8283719359,32.7898321918
1973,Arizona,Total carbon dioxide emissions from all sectors,All Fuels,34.45,58.22,59.35833333333333,-111.664418336,34.2931098705
1973,Arkansas,Total carbon dioxide emissions from all sectors,All Fuels,40.83,60.44,60.4,-92.4392676639,34.8997453322
1973,California,Total carbon dioxide emissions from all sectors,All Fuels,329.29,57.06,57.36666666666667,-119.610698951,37.2460706736
1973,Colorado,Total carbon dioxide emissions from all sectors,All Fuels,51.07,43.11,44.61666666666667,-105.547824721,38.9985518194
1973,Connecticut,Total carbon dioxide emissions from all sectors,All Fuels,48.58,49.96,48.03333333333333,-72.7257060428,41.6202863352
1973,Delaware,Total carbon dioxide emissions from all sectors,All Fuels,17.24,55.72,54.16666666666666,-75.4004040929,38.8870164548
1973,Florida,Total carbon dioxide emissions from all sectors,All Fuels,132.24,70.48,70.125,-81.7974638723,28.628439264699995
1973,Georgia,Total carbon dioxide emissions from all sectors,All Fuels,93.11,63.64,63.36666666666667,-83.4463418309,32.6492290722
1973,Idaho,Total carbon dioxide emissions from all sectors,All Fuels,11.96,42.38,42.583333333333336,-114.659382348,44.0890895052
1973,Illinois,Total carbon dioxide emissions from all sectors,All Fuels,257.0,53.0,51.63333333333333,-89.19839676140002,40.0650409125
1973,Indiana,Total carbon dioxide emissions from all sectors,All Fuels,188.39,52.94,51.31666666666666,-86.2756397346,39.9081412284
1973,Iowa,Total carbon dioxide emissions from all sectors,All Fuels,59.45,48.62,47.54166666666666,-93.50006496049998,42.0746268788
1973,Kansas,Total carbon dioxide emissions from all sectors,All Fuels,57.06,53.8,54.15,-98.3802131736,38.4847081514
1973,Kentucky,Total carbon dioxide emissions from all sectors,All Fuels,94.49,56.33,55.48333333333333,-85.2904560935,37.5266674638
1973,Louisiana,Total carbon dioxide emissions from all sectors,All Fuels,168.9,66.23,66.38333333333334,-92.5856620163,31.0584069584
1973,Maine,Total carbon dioxide emissions from all sectors,All Fuels,21.31,41.8,40.10833333333333,-69.2266474552,45.3714334913
1973,Maryland,Total carbon dioxide emissions from all sectors,All Fuels,81.74,55.2,53.75833333333333,-76.7724546076,39.0369222963
1973,Massachusetts,Total carbon dioxide emissions from all sectors,All Fuels,103.24,48.86,46.91666666666666,-71.7986394244,42.2533023991
1973,Michigan,Total carbon dioxide emissions from all sectors,All Fuels,199.98,45.59,43.575,-85.4371669561,44.3506813109
1973,Minnesota,Total carbon dioxide emissions from all sectors,All Fuels,76.01,42.04,40.05833333333333,-94.3090126515,46.3163329315
1973,Mississippi,Total carbon dioxide emissions from all sectors,All Fuels,44.07,63.75,63.625,-89.6652136847,32.750866634
1973,Missouri,Total carbon dioxide emissions from all sectors,All Fuels,99.94,55.1,54.5,-92.47741015779998,38.3676131565
1973,Montana,Total carbon dioxide emissions from all sectors,All Fuels,16.99,41.55,41.15833333333333,-109.645148622,47.0335364218
1973,Nebraska,Total carbon dioxide emissions from all sectors,All Fuels,30.18,48.45,48.40833333333333,-99.8108090713,41.5271489603
1973,Nevada,Total carbon dioxide emissions from all sectors,All Fuels,20.1,48.95,49.46666666666667,-116.65522549,39.3562373462
1973,New Hampshire,Total carbon dioxide emissions from all sectors,All Fuels,13.6,44.2,42.333333333333336,-71.5775941473,43.6856317461
1973,New Jersey,Total carbon dioxide emissions from all sectors,All Fuels,131.5,53.45,51.44166666666666,-74.6607541123,40.1844273633
1973,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,40.05,51.41,52.833333333333336,-106.108388616,34.4213707591
1973,New York,Total carbon dioxide emissions from all sectors,All Fuels,280.37,46.38,44.5,-75.5031182762,42.9403901101
1973,North Carolina,Total carbon dioxide emissions from all sectors,All Fuels,109.01,59.11,58.525,-79.3723797543,35.5415341226
1973,North Dakota,Total carbon dioxide emissions from all sectors,All Fuels,16.4,41.57,39.69166666666667,-100.469321077,47.446338517
1973,Ohio,Total carbon dioxide emissions from all sectors,All Fuels,291.6,52.22,50.39166666666667,-82.7900611953,40.291452206
1973,Oklahoma,Total carbon dioxide emissions from all sectors,All Fuels,59.76,58.79,59.68333333333334,-97.5082927121,35.5834856477
1973,Oregon,Total carbon dioxide emissions from all sectors,All Fuels,29.65,46.87,46.475,-120.555413394,43.93664816060001
1973,Pennsylvania,Total carbon dioxide emissions from all sectors,All Fuels,325.61,49.79,48.125,-77.7995595623,40.8738378455
1973,Rhode Island,Total carbon dioxide emissions from all sectors,All Fuels,12.54,50.69,48.583333333333336,-71.5536120535,41.6760813901
1973,South Carolina,Total carbon dioxide emissions from all sectors,All Fuels,48.83,62.71,62.375,-80.8961396866,33.9079742468
1973,South Dakota,Total carbon dioxide emissions from all sectors,All Fuels,9.45,45.73,44.55,-100.230507516,44.4361607025
1973,Tennessee,Total carbon dioxide emissions from all sectors,All Fuels,98.65,58.33,57.68333333333333,-86.3433803654,35.8429870949
1973,Texas,Total carbon dioxide emissions from all sectors,All Fuels,434.67,63.55,64.63333333333334,-99.3506971451,31.4844643819
1973,Utah,Total carbon dioxide emissions from all sectors,All Fuels,28.24,45.88,47.53333333333333,-111.678216374,39.3237947509
1973,Vermont,Total carbon dioxide emissions from all sectors,All Fuels,5.93,43.29,41.325,-72.6626493581,44.07519582519999
1973,Virginia,Total carbon dioxide emissions from all sectors,All Fuels,89.57,55.81,54.79166666666666,-78.8122544727,37.5150238913
1973,Washington,Total carbon dioxide emissions from all sectors,All Fuels,57.42,46.19,46.11666666666667,-120.446866425,47.3809688818
1973,West Virginia,Total carbon dioxide emissions from all sectors,All Fuels,97.6,52.85,51.55833333333334,-80.6137119661,38.6425987436
1973,Wisconsin,Total carbon dioxide emissions from all sectors,All Fuels,85.44,44.16,42.35833333333333,-90.0116942643,44.6380301915
1973,Wyoming,Total carbon dioxide emissions from all sectors,All Fuels,23.69,39.45,40.75833333333333,-107.551454075,42.999642032
1974,Alabama,Total carbon dioxide emissions from all sectors,All Fuels,108.78,63.08,63.083333333333336,-86.8283719359,32.7898321918
1974,Arizona,Total carbon dioxide emissions from all sectors,All Fuels,36.74,59.66,59.35833333333333,-111.664418336,34.2931098705
1974,Arkansas,Total carbon dioxide emissions from all sectors,All Fuels,39.11,60.25,60.41666666666666,-92.4392676639,34.8997453322
1974,California,Total carbon dioxide emissions from all sectors,All Fuels,304.47,57.77,57.4,-119.610698951,37.2460706736
1974,Colorado,Total carbon dioxide emissions from all sectors,All Fuels,50.48,44.52,44.6,-105.547824721,38.9985518194
1974,Connecticut,Total carbon dioxide emissions from all sectors,All Fuels,45.43,48.29,48.03333333333333,-72.7257060428,41.6202863352
1974,Delaware,Total carbon dioxide emissions from all sectors,All Fuels,16.66,54.62,54.18333333333334,-75.4004040929,38.8870164548
1974,Florida,Total carbon dioxide emissions from all sectors,All Fuels,124.29,70.82,70.13333333333333,-81.7974638723,28.628439264699995
1974,Georgia,Total carbon dioxide emissions from all sectors,All Fuels,91.69,63.81,63.35,-83.4463418309,32.6492290722
1974,Idaho,Total carbon dioxide emissions from all sectors,All Fuels,12.08,43.17,42.583333333333336,-114.659382348,44.0890895052
1974,Illinois,Total carbon dioxide emissions from all sectors,All Fuels,252.04,51.48,51.63333333333333,-89.19839676140002,40.0650409125
1974,Indiana,Total carbon dioxide emissions from all sectors,All Fuels,181.54,51.18,51.3,-86.2756397346,39.9081412284
1974,Iowa,Total carbon dioxide emissions from all sectors,All Fuels,56.15,47.38,47.51666666666667,-93.50006496049998,42.0746268788
1974,Kansas,Total carbon dioxide emissions from all sectors,All Fuels,57.39,54.3,54.14166666666666,-98.3802131736,38.4847081514
1974,Kentucky,Total carbon dioxide emissions from all sectors,All Fuels,95.24,55.42,55.48333333333333,-85.2904560935,37.5266674638
1974,Louisiana,Total carbon dioxide emissions from all sectors,All Fuels,172.21,66.47,66.38333333333334,-92.5856620163,31.0584069584
1974,Maine,Total carbon dioxide emissions from all sectors,All Fuels,18.74,39.75,40.083333333333336,-69.2266474552,45.3714334913
1974,Maryland,Total carbon dioxide emissions from all sectors,All Fuels,76.35,54.18,53.75833333333333,-76.7724546076,39.0369222963
1974,Massachusetts,Total carbon dioxide emissions from all sectors,All Fuels,94.44,47.18,46.93333333333334,-71.7986394244,42.2533023991
1974,Michigan,Total carbon dioxide emissions from all sectors,All Fuels,190.37,43.1,43.55833333333334,-85.4371669561,44.3506813109
1974,Minnesota,Total carbon dioxide emissions from all sectors,All Fuels,74.58,39.81,40.05833333333333,-94.3090126515,46.3163329315
1974,Mississippi,Total carbon dioxide emissions from all sectors,All Fuels,43.34,63.42,63.63333333333333,-89.6652136847,32.750866634
1974,Missouri,Total carbon dioxide emissions from all sectors,All Fuels,97.67,54.38,54.5,-92.47741015779998,38.3676131565
1974,Montana,Total carbon dioxide emissions from all sectors,All Fuels,16.55,42.32,41.13333333333333,-109.645148622,47.0335364218
1974,Nebraska,Total carbon dioxide emissions from all sectors,All Fuels,29.06,49.12,48.375,-99.8108090713,41.5271489603
1974,Nevada,Total carbon dioxide emissions from all sectors,All Fuels,20.4,50.27,49.475,-116.65522549,39.3562373462
1974,New Hampshire,Total carbon dioxide emissions from all sectors,All Fuels,12.59,42.35,42.333333333333336,-71.5775941473,43.6856317461
1974,New Jersey,Total carbon dioxide emissions from all sectors,All Fuels,119.86,52.08,51.43333333333334,-74.6607541123,40.1844273633
1974,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,40.55,52.95,52.85833333333333,-106.108388616,34.4213707591
1974,New York,Total carbon dioxide emissions from all sectors,All Fuels,258.79,44.14,44.48333333333333,-75.5031182762,42.9403901101
1974,North Carolina,Total carbon dioxide emissions from all sectors,All Fuels,104.25,58.99,58.50833333333333,-79.3723797543,35.5415341226
